species,genus,family
Leichhardtia mackeeorum,Leichhardtia,Apocynaceae
Spermacoce cataractarum,Spermacoce,Rubiaceae
Leichhardtia ambuntiensis,Leichhardtia,Apocynaceae
Leichhardtia torsiva,Leichhardtia,Apocynaceae
Leichhardtia velutina,Leichhardtia,Apocynaceae
Leichhardtia praestans,Leichhardtia,Apocynaceae
Spermacoce viridiflora,Spermacoce,Rubiaceae
Gonolobus heterophyllus,Gonolobus,Apocynaceae
Rennellia subsessilis,Rennellia,Rubiaceae
Schmidtottia elliptica,Schmidtottia,Rubiaceae
Schmidtottia sessilifolia,Schmidtottia,Rubiaceae
Psydrax dunlapii,Psydrax,Rubiaceae
Psydrax ficiformis,Psydrax,Rubiaceae
Dischidia lanceolata,Dischidia,Apocynaceae
Galianthe thalictroides,Galianthe,Rubiaceae
Sabatia campanulata,Sabatia,Gentianaceae
Scolosanthus triacanthus,Scolosanthus,Rubiaceae
Pavetta salicina,Pavetta,Rubiaceae
Adina pilulifera,Adina,Rubiaceae
Debia rosettifolia,Debia,Rubiaceae
Orianthera biloba,Orianthera,Loganiaceae
Vidalasia morindifolia,Vidalasia,Rubiaceae
Prestonia cyaniphylla,Prestonia,Apocynaceae
Dimetia prainiana,Dimetia,Rubiaceae
Eumachia depauperata,Eumachia,Rubiaceae
Guettardella tenuiflora,Guettardella,Rubiaceae
Guettardella tayabensis,Guettardella,Rubiaceae
Guettardella ternata,Guettardella,Rubiaceae
Trachelospermum lucidum,Trachelospermum,Apocynaceae
Guettardella affinis,Guettardella,Rubiaceae
Guettardella attenuata,Guettardella,Rubiaceae
Palicourea cuspidata,Palicourea,Rubiaceae
Macrocarpaea cinchonifolia,Macrocarpaea,Gentianaceae
Palicourea celiae,Palicourea,Rubiaceae
Palicourea horquetensis,Palicourea,Rubiaceae
Palicourea nematostachya,Palicourea,Rubiaceae
Palicourea toensis,Palicourea,Rubiaceae
Carterella alexanderae,Carterella,Rubiaceae
Petchia montana,Petchia,Apocynaceae
Macrocarpaea glabra,Macrocarpaea,Gentianaceae
Palicourea mamillaris,Palicourea,Rubiaceae
Palicourea tabayensis,Palicourea,Rubiaceae
Vangueria discolor,Vangueria,Rubiaceae
Neuburgia moluccana,Neuburgia,Loganiaceae
Heterostemma andersonii,Heterostemma,Apocynaceae
Palicourea psychotrioides,Palicourea,Rubiaceae
Palicourea raveniana,Palicourea,Rubiaceae
Simira maxonii,Simira,Rubiaceae
Discospermum quocensis,Discospermum,Rubiaceae
Matelea bicolor,Matelea,Apocynaceae
Matelea gentlei,Matelea,Apocynaceae
Matelea pseudobarbata,Matelea,Apocynaceae
Pauridiantha micrantha,Pauridiantha,Rubiaceae
Matelea pubescens,Matelea,Apocynaceae
Matelea castanea,Matelea,Apocynaceae
Baissea floribunda,Baissea,Apocynaceae
Matelea flavidula,Matelea,Apocynaceae
Matelea capillacea,Matelea,Apocynaceae
Leichhardtia kebarensis,Leichhardtia,Apocynaceae
Leichhardtia assimulata,Leichhardtia,Apocynaceae
Spermacoce burchellii,Spermacoce,Rubiaceae
Spermacoce rosmarinifolia,Spermacoce,Rubiaceae
Leichhardtia ericoides,Leichhardtia,Apocynaceae
Spermacoce densiflora,Spermacoce,Rubiaceae
Spermacoce octodon,Spermacoce,Rubiaceae
Spermacoce latituba,Spermacoce,Rubiaceae
Gyrandra blumbergiana,Gyrandra,Gentianaceae
Spermacoce malacophylla,Spermacoce,Rubiaceae
Macropharynx peltata,Macropharynx,Apocynaceae
Crossopteryx febrifuga,Crossopteryx,Rubiaceae
Pachycarpus linearis,Pachycarpus,Apocynaceae
Vangueriella glabrescens,Vangueriella,Rubiaceae
Vangueriella orthacantha,Vangueriella,Rubiaceae
Aspidoglossum glabrescens,Aspidoglossum,Apocynaceae
Pachycarpus stenoglossus,Pachycarpus,Apocynaceae
Psydrax grandifolius,Psydrax,Rubiaceae
Galianthe guaranitica,Galianthe,Rubiaceae
Gynochthodes celebica,Gynochthodes,Rubiaceae
Gynochthodes verticillata,Gynochthodes,Rubiaceae
Timonius subavenis,Timonius,Rubiaceae
Cryptolepis sinensis,Cryptolepis,Apocynaceae
Gynochthodes phyllireoides,Gynochthodes,Rubiaceae
Galianthe valerianoides,Galianthe,Rubiaceae
